,comm_1
0,252168075
1,1238117630696972289
2,37232479
3,1279224657124753408
4,1299172647583051777
5,145461175
6,147385733
7,1118888183343853569
8,418899788
9,3991086621
10,1537340682
11,2811705634
12,2744470601
13,1544714364
14,885963124754567168
15,148461640
16,606632391
17,2520619430
18,849688115967078400
19,2232463863
20,853780872268582918
21,158218244
22,2229256457
23,307409107
24,148839779
25,327180205
26,156054222
27,158578695
28,2840280909
29,1110543608703303682
30,1348389929143906305
31,2923041125
32,174754723
33,1285055382210125832
34,334233849
35,149643369
36,1928320513
37,1350027419957264385
38,2301439887
39,489151952
40,726028375173795840
41,167469254
42,556753979
43,231454540
44,4243331608
45,2909731282
46,1175756935641075718
47,849264505486004224
48,1263252409880662023
49,222961577
50,175236893
51,1280585875131437067
52,1118000179565744128
53,1066416564268867586
54,2353140334
55,1138474230755078145
56,74160925
57,1348710270194102273
58,2642979744
59,1274174042162049024
60,2947440729
61,1167550233980616704
62,1346524009429610497
63,996126800911757312
64,843217760708628480
65,3155840833
66,756543198927982592
67,1055252819417186304
68,1147845205321748480
69,142449943
70,3105429461
71,1369358752395169792
72,68957648
73,1189607160851943424
74,794114364
75,2718478968
76,202290629
77,3397888653
78,720261541669437440
79,167147663
80,1128128054830743553
81,359723186
82,67046167
83,2325615368
84,931564592328781824
85,4535566702
86,1168343448526753793
87,150075171
88,985564778
89,958363921802461191
90,825150128004669440
91,4084259969
92,2582474238
93,565194951
94,718137526783967233
95,1034904122
96,143646134
97,252831234
98,3027825842
99,15266334
100,854833584351399936
101,1500612732
102,783367912954458112
103,794667234
104,38284709
105,1155487765456465923
106,2190675216
107,3115365611
108,1255719374
109,4115585596
110,926613416382476288
111,359979945
112,474105312
113,2216772987
114,1031358161737973761
115,1292596613970563072
116,1490231748
117,1122166021782212608
118,566854299
119,403589901
120,1370590944
121,1423548050
122,477390275
123,197161057
124,1070459253692030976
125,2257128927
126,1419082244
127,2569976082
128,66399906
129,389616717
130,797382318
131,138625713
132,1042532093681528832
133,114526580
134,140713442
135,1263526453997600768
136,145423533
137,1465475142
138,2440554210
139,228633012
140,2439009551
141,1423221576
142,562200059
143,165230126
144,2471457739
145,2287391528
146,70495937
147,140837289
148,1068415663
149,342238818
150,2984784171
151,4579944141
152,917604581852565504
153,1039476631
154,169913805
155,865382719118872576
156,753786078713245696
157,707733144682766338
158,109320308
159,296603348
160,556415716
161,4765017923
162,1470719400
163,64496828
164,169736965
165,1465523670
166,2838253948
167,1334703938
168,1054141195608301568
169,1062334218531938304
170,735932178010361861
171,1311406391035400192
172,1085321628546945024
173,361421053
174,1161370873
175,4251658642
176,1205418597725683712
177,16967823
178,1152152534
179,804094256
180,4399373361
181,371735571
182,1134596566466158592
183,632218479
184,1000012910
185,1248031101894955009
186,1064527049287770112
187,927975778272403456
188,496358067
189,1091859230
190,1287562291
191,4760638516
192,1046576621921218560
193,4836551590
194,189296883
195,2328700569
196,443957372
197,1267825484324208650
198,1031974337589530624
199,3013475817
200,1576444242
201,748024568
202,40474405
203,129631920
204,163557607
205,752861804775243776
206,2744954261
207,179754650
208,179274588
209,2582866400
210,1248673664544968704
211,136129633
212,1336876080536367104
213,4227219761
214,223101653
215,199910429
216,1052701625993768960
217,2412809899
218,1179820410
219,1542108283
220,1309859176261324800
221,765969346078310400
222,1138999272521834499
223,956970850858733569
224,1642897352
225,141819823
226,783651109730656260
227,1080593788576387072
228,172094954
229,1146504383779233792
230,18925821
231,2352253952
232,340627918
233,2671066675
234,991808089195270144
235,2233713932
236,145978353
237,996779583918796801
238,978805113740578816
239,2725814253
240,985974482320969728
241,2564582235
242,1360817803931099139
243,2775659742
244,475004683
245,1310950675757629447
246,751929335490174980
247,883426011412606977
248,2231711113
249,2196425515
250,839038464
251,1064027327758258176
252,3435915399
253,4197381615
254,922280822543212544
255,1720135849
256,1296571048373215233
257,1130288299615105025
258,179824150
259,235148567
260,419948205
261,196885137
262,766780636589723648
263,1322786581854507008
264,2332316062
265,1620434316
266,254391017
267,441431176
268,921769729622147072
269,567639707
270,153519808
271,961984478469083136
272,1223617770128101376
273,1167060710087680005
274,178341161
275,2548274155
276,731781342
277,2932140081
278,1676150731
279,867575551703298048
280,61954571
281,978296958149414918
282,319286982
283,280327823
284,1191065166630273025
285,41676573
286,1346946936260222977
287,1320421402273554438
288,145375377
289,735506649155309568
290,2289095864
291,1364644988831870979
292,812373011714179072
293,132248682
294,4198465642
295,2713796776
296,1493942767
297,871484798904274944
298,1341462207591112704
299,109856426
300,209257319
301,265528581
302,1282677838466998272
303,107708146
304,735677606369071108
305,1111155194396581890
306,3958069995
307,2763647871
308,255936713
309,1199738979387662336
310,722146335584034819
311,849052350857785344
312,1248470479712563202
313,37932263
314,2973374902
315,183035849
316,701919738281250819
317,247740568
318,1267910530464964609
319,1332717306
320,1329306185351229448
321,824218235293888512
322,2677167388
323,497982069
324,3122768948
325,2371103496
326,919285700431896577
327,1194008613079146501
328,162450182
329,405652622
330,1178031539566907394
331,890641283047358464
332,3412635478
333,636345775
334,1106767294376620032
335,3198212446
336,849459923205443587
337,179606417
338,1328142733
339,894736560498847747
340,1309280553678573570
341,4246311561
342,4145621363
343,730484398819250176
344,759404233267507201
345,1226974709885161474
346,1458753680
347,208648078
348,928717784124743680
349,634939909
350,758176439187415040
351,239699954
352,1220152046776655872
353,870070648512679937
354,906501044385009665
355,143179041
356,1021159485837103106
357,170188469
358,890411326002126848
359,3076068057
360,2810665427
361,757723499968532480
362,3330570411
363,1303185099974942720
364,1235641907633631233
365,1229615049536409601
366,1220414617832345600
367,842497218
368,32633053
369,2814064344
370,728027367466217472
371,1872208945
372,837457455433015296
373,230922284
374,1312171075309051911
375,1357890008
376,36957720
377,147257477
378,2184408541
379,1410715038
380,87470672
381,175097177
382,270008304
383,1975248488
384,564042719
385,419891711
386,1306004461
387,634170302
388,1250159023472685064
389,885913418821238784
390,499381646
391,1164116703590125568
392,348835930
393,1900832748
394,1485509054
395,1244732086906433539
396,201015496
397,208490736
398,2604861845
399,1302529537
400,186070960
401,249479601
402,182118549
403,3748419377
404,3037629969
405,4405726341
406,1935500414
407,1918201964
408,2525439758
409,1020763814
410,1249403351332261888
411,1194050305794695168
412,1605797790
413,134005373
414,875809765
415,2951554437
416,4100729848
417,1205649977059553281
418,1668556188
419,316043614
420,701050069336924160
421,1542059119
422,366707521
423,151655977
424,1029697568
425,522197549
426,957701311
427,331415659
428,167385572
429,19991497
430,960414535
431,4532040442
432,199889412
433,208768095
434,1270407863752671235
435,187035241
436,286710135
437,3359440300
438,1099659223523311616
439,142786478
440,1235748221974130688
441,2610409794
442,1676825292
443,990645311675695105
444,300582208
445,1740599918
446,1119605455565852673
447,853004520338718720
448,724088852
449,280526998
450,49814485
451,799045498648875008
452,825688939
453,4749475517
454,227165658
455,927582038433173504
456,1625752669
457,874645664
458,2376429744
459,1340593632844328961
460,3917319810
461,193961102
462,3199205541
463,203643299
464,144935872
465,497262192
466,781725348
467,168426611
468,237994709
469,2153702509
470,1035310016906121216
471,1243276178602983425
472,110029071
473,1189697405404487680
474,293884198
475,4831478110
476,1338862735094730757
477,53179436
478,149584099
479,1252586028713607168
480,2200487845
481,2861601397
482,1162557422340382722
483,1082408352368508933
484,72543670
485,2884757092
486,1216441553817939968
487,1065382617585995776
488,79289921
489,892379197678776320
490,1148155031922847745
491,2212578840
492,431221769
493,2429040364
494,190428674
495,939878965
496,725394863160741889
497,485275945
498,1706058146
499,928293058520772608
500,1326647772
501,1310289944942964736
502,963324343
503,890070960770101248
504,558941106
505,337805663
506,40796831
507,130756246
508,1102794380
509,4053210252
510,538185342
511,334352950
512,1316056831148675072
513,590403496
514,1205661024902402049
515,2420417441
516,781111322
517,398027198
518,895850230859661312
519,4409446905
520,3480409841
521,925978333
522,365173932
523,916791848496136192
524,14165570
525,1159971119685951489
526,1954793089
527,147382943
528,155395750
529,313933283
530,2349669231
531,3135484221
532,2789699959
533,157846401
534,1102193130085011456
535,90185866
536,4871729465
537,730195510645116929
538,1883399930
539,141632545
540,3438284351
541,990008572342947840
542,550457769
543,712335069453688832
544,549811709
545,226121207
546,33667453
547,1324322851554549761
548,226019892
549,1004569926
550,39343295
551,160334695
552,1029434045489393664
553,83674599
554,1221466997730443264
555,206170151
556,122181701
557,558339920
558,1273356830262153222
559,138902429
560,1040060048209338369
561,4531354456
562,337522532
563,40858089
564,167498231
565,2513185875
566,1967922122
567,132532454
568,916809838641991680
569,630758888
570,1249167377843064837
571,199154673
572,193712831
573,2270147561
574,2900773582
575,348499785
576,342682750
577,1218643398749573121
578,262421071
579,2814280973
580,898024773141377024
581,1071973385423478784
582,198053888
583,358087986
584,449342655
585,1188922342648492032
586,2379300320
587,1211337779021434880
588,3474542957
589,844730835643383809
590,347562724
591,178913372
592,3893632221
593,1154771271776972801
594,1337354461606531072
595,1483771861
596,1256324234613325824
597,706101706048868352
598,2234353664
599,237941212
600,717673588875255809
601,2892713866
602,537731054
603,1270898472418529282
604,1180292163940343809
605,574234530
606,2356497675
607,197141985
608,142867895
609,1304233382
610,3347147789
611,3637866256
612,873693833405640706
613,938315258
614,895878853784084482
615,799033807840088064
616,1363888644008902660
617,1597329390
618,209288151
619,876384376015257600
620,2272053176
621,1145664042129854465
622,1192565242934579200
623,2669488298
624,4239449475
625,989577590938718208
626,501979428
627,901824927560585218
628,4186432763
629,68740917
630,2394721346
631,809069216146006016
632,1177972511671234562
